Date,^CNXAUTO,^CNXENERGY,^CNXIT,^CNXMEDIA,^CNXMETAL,^CNXREALTY
2014-05-26 00:00:00+05:30,6502.0,10032.4501953125,9061.0,1898.199951171875,3149.75,241.0500030517578
2014-05-27 00:00:00+05:30,6435.64990234375,9851.400390625,9101.849609375,1904.949951171875,3155.64990234375,238.14999389648438
2014-05-28 00:00:00+05:30,6374.75,9782.2998046875,9237.25,1890.9000244140625,3111.0,241.25
2014-05-29 00:00:00+05:30,6375.25,9650.4501953125,8927.400390625,1903.0999755859375,3083.85009765625,238.35000610351562
2014-05-30 00:00:00+05:30,6385.10009765625,9667.5,8970.2998046875,1951.300048828125,3096.89990234375,242.9499969482422
2014-06-02 00:00:00+05:30,6470.5498046875,9914.349609375,8981.9501953125,1948.300048828125,3158.75,246.9499969482422
2014-06-03 00:00:00+05:30,6509.2998046875,10082.0,8976.400390625,1969.0,3311.800048828125,254.4499969482422
2014-06-04 00:00:00+05:30,6558.35009765625,9978.0,8863.900390625,1991.1500244140625,3358.199951171875,257.6499938964844
2014-06-05 00:00:00+05:30,6618.25,10175.75,8984.599609375,2002.8499755859375,3479.60009765625,259.6499938964844
2014-06-06 00:00:00+05:30,6724.89990234375,10594.0,8945.099609375,2030.1500244140625,3463.5,272.70001220703125
2014-06-09 00:00:00+05:30,6832.64990234375,10603.349609375,9017.7001953125,2107.199951171875,3521.85009765625,288.95001220703125
2014-06-10 00:00:00+05:30,6835.7998046875,10507.7001953125,9234.599609375,2086.199951171875,3488.25,280.3500061035156
2014-06-11 00:00:00+05:30,6807.35009765625,10289.650390625,9436.400390625,2037.800048828125,3397.64990234375,268.29998779296875
2014-06-12 00:00:00+05:30,6858.7998046875,10282.849609375,9447.849609375,2004.5999755859375,3407.75,268.8500061035156
2014-06-13 00:00:00+05:30,6738.60009765625,10073.0,9448.650390625,1961.75,3297.800048828125,254.64999389648438
2014-06-16 00:00:00+05:30,6668.7001953125,10063.2001953125,9579.849609375,1961.300048828125,3299.10009765625,257.8500061035156
2014-06-17 00:00:00+05:30,6703.85009765625,10316.25,9620.0498046875,1974.699951171875,3348.050048828125,260.20001220703125
2014-06-18 00:00:00+05:30,6643.2001953125,10175.25,9521.349609375,2002.4000244140625,3320.64990234375,254.5
2014-06-19 00:00:00+05:30,6658.89990234375,9919.75,9698.900390625,2006.25,3298.85009765625,252.8000030517578
2014-06-20 00:00:00+05:30,6604.14990234375,9858.7001953125,9700.2001953125,2025.5,3273.35009765625,255.4499969482422
2014-06-23 00:00:00+05:30,6651.89990234375,9965.400390625,9548.2001953125,2045.949951171875,3309.699951171875,256.04998779296875
2014-06-24 00:00:00+05:30,6727.2001953125,10156.7998046875,9570.75,2037.199951171875,3352.14990234375,263.8500061035156
2014-06-25 00:00:00+05:30,6791.7001953125,10114.650390625,9587.900390625,2047.550048828125,3349.89990234375,266.45001220703125
2014-06-26 00:00:00+05:30,6796.2998046875,9774.4501953125,9579.400390625,2085.14990234375,3311.0,259.79998779296875
2014-06-27 00:00:00+05:30,6750.39990234375,9795.7001953125,9819.9501953125,2083.5,3265.75,261.8500061035156
2014-06-30 00:00:00+05:30,6775.14990234375,9968.4501953125,9912.2998046875,2117.60009765625,3308.75,264.1499938964844
2014-07-01 00:00:00+05:30,6989.2001953125,9915.900390625,9802.849609375,2136.449951171875,3378.25,267.70001220703125
2014-07-02 00:00:00+05:30,7100.39990234375,10024.900390625,9807.599609375,2135.550048828125,3443.60009765625,268.29998779296875
2014-07-03 00:00:00+05:30,7149.2998046875,9898.7001953125,9831.349609375,2118.64990234375,3422.60009765625,264.3999938964844
2014-07-04 00:00:00+05:30,7153.2001953125,10062.5498046875,9866.9501953125,2129.0,3392.14990234375,267.70001220703125
2014-07-07 00:00:00+05:30,7201.85009765625,10043.4501953125,10126.25,2121.60009765625,3392.89990234375,267.3500061035156
2014-07-08 00:00:00+05:30,7034.5,9664.150390625,10019.7001953125,2062.10009765625,3250.050048828125,247.6999969482422
2014-07-09 00:00:00+05:30,6852.0,9694.9501953125,9903.2998046875,2037.449951171875,3231.35009765625,243.89999389648438
2014-07-10 00:00:00+05:30,6796.5,9706.2998046875,9816.2001953125,2044.6500244140625,3258.39990234375,255.4499969482422
2014-07-11 00:00:00+05:30,6722.5,9443.2001953125,9933.5498046875,2058.89990234375,3135.0,241.64999389648438
2014-07-14 00:00:00+05:30,6782.25,9456.9501953125,9799.650390625,2034.75,3160.300048828125,240.9499969482422
2014-07-15 00:00:00+05:30,6885.25,9564.5498046875,9785.75,2051.14990234375,3210.550048828125,245.6999969482422
2014-07-16 00:00:00+05:30,6989.5,9677.599609375,9809.0,2085.449951171875,3282.64990234375,256.3500061035156
2014-07-17 00:00:00+05:30,6981.60009765625,9689.599609375,9819.75,2092.25,3364.25,254.85000610351562
2014-07-18 00:00:00+05:30,6986.7001953125,9605.400390625,9946.9501953125,2067.75,3350.0,252.4499969482422
2014-07-21 00:00:00+05:30,6987.7001953125,9639.400390625,9912.400390625,2096.60009765625,3341.39990234375,250.89999389648438
2014-07-22 00:00:00+05:30,7019.39990234375,9793.900390625,10086.650390625,2099.25,3373.050048828125,251.85000610351562
2014-07-23 00:00:00+05:30,7033.0,9796.150390625,10306.849609375,2076.050048828125,3362.199951171875,252.10000610351562
2014-07-24 00:00:00+05:30,7031.7998046875,9774.400390625,10400.150390625,2060.35009765625,3412.550048828125,253.64999389648438
2014-07-25 00:00:00+05:30,6945.10009765625,9623.2001953125,10339.7001953125,2012.8499755859375,3335.39990234375,246.5500030517578
